AbsoluteURL,promotionpackages,promotionbrands
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/06/113301150-636243788373754266-4d5159.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/06/113301150-636243788775781728-dc946a.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/06/113301150-636243789163768650-d7c043.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/06/113301150-636243790244110200-a04a57.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/06/113301150-636243791237556408-d11dbc.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/06/113301150-636243791945511636-373524.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/03/09/113301150-636246586164138279-061d1c.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Big Red | Rc Cola | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/06/05/12410094-636322487922611702-48d7ab.jpg," 12 OZ Alum Can 12pk X 2"," Dr Pepper"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/23/11480683-636390691144719682-bf5fa5.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | C/F Dr Pepper | Canada Dry | Cherry Dr Pepper | Cherry Vanilla Dr Pepper | Diet Berries & Cream Dr Pepper | Diet C/F Dr Pepper | Diet Cherry Chocolate Dr Pepper | Diet Cherry Dr Pepper | Diet Cherry Vanilla Dr Pepper | Diet Dr Pepper | Dr Pepper | Dr Pepper Ten | Sundrop | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/23/12016386-636391192880176715-b707ae.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/23/12016374-636391193919214335-d7fe9e.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/23/12016387-636391194611673574-a21c6c.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/23/12016376-636391195415843983-ba6c71.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/23/12016389-636391196963358719-c73eef.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/24/11309356-636391687373015219-a70503.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | C/F Dr Pepper | Canada Dry | Cherry Dr Pepper | Cherry Vanilla Dr Pepper | Diet Berries & Cream Dr Pepper | Diet C/F Dr Pepper | Diet Cherry Chocolate Dr Pepper | Diet Cherry Dr Pepper | Diet Cherry Vanilla Dr Pepper | Diet Dr Pepper | Dr Pepper | Dr Pepper Ten | Sundrop | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/28/11510488-636395008651093197-fe9cfd.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/28/11223677-636395085071052988-9d1508.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/28/12000135-636395118692558712-524b29.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/28/11224126-636395141408875744-600499.jpg," 12 OZ Alum Can 12pk X 2"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/28/12280177-636395165914154198-ddb068.jpg," 12 OZ Alum Can 12pk X 2 | 2 L Plastic Btl LS 6 | 20 OZ Plastic Btl LS 24"," 7UP | C/F Dr Pepper | Canada Dry | Cherry Dr Pepper | Cherry Vanilla Dr Pepper | Diet Berries & Cream Dr Pepper | Diet C/F Dr Pepper | Diet Cherry Chocolate Dr Pepper | Diet Cherry Dr Pepper | Diet Cherry Vanilla Dr Pepper | Diet Dr Pepper | Dr Pepper | Dr Pepper Ten"
