filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0.jpg,50611,"{}",0,0,"{}","{}"
12.jpg,70650,"{}",0,0,"{}","{}"
14.jpg,48073,"{}",0,0,"{}","{}"
16.jpg,61430,"{}",0,0,"{}","{}"
22.jpg,57965,"{}",0,0,"{}","{}"
37.jpg,60408,"{}",2,0,"{""name"":""rect"",""x"":367,""y"":67,""width"":64,""height"":135}","{""name"":""2L CAN DRY""}"
37.jpg,60408,"{}",2,1,"{""name"":""rect"",""x"":432,""y"":63,""width"":65,""height"":142}","{""name"":""2L CAN DRY""}"
38.jpg,80799,"{}",0,0,"{}","{}"
41.jpg,60809,"{}",0,0,"{}","{}"
43.jpg,76542,"{}",0,0,"{}","{}"
49.jpg,62927,"{}",0,0,"{}","{}"
63.jpg,73055,"{}",0,0,"{}","{}"
66.jpg,61116,"{}",0,0,"{}","{}"
67.jpg,60967,"{}",0,0,"{}","{}"
71.jpg,65078,"{}",0,0,"{}","{}"
78.jpg,81325,"{}",60,0,"{""name"":""rect"",""x"":181,""y"":114,""width"":45,""height"":35}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,1,"{""name"":""rect"",""x"":185,""y"":153,""width"":41,""height"":31}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,2,"{""name"":""rect"",""x"":185,""y"":187,""width"":41,""height"":29}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,3,"{""name"":""rect"",""x"":185,""y"":221,""width"":42,""height"":24}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,4,"{""name"":""rect"",""x"":186,""y"":250,""width"":42,""height"":22}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,5,"{""name"":""rect"",""x"":186,""y"":276,""width"":41,""height"":23}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,6,"{""name"":""rect"",""x"":189,""y"":303,""width"":37,""height"":23}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,7,"{""name"":""rect"",""x"":189,""y"":329,""width"":36,""height"":23}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,8,"{""name"":""rect"",""x"":190,""y"":354,""width"":36,""height"":21}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,9,"{""name"":""rect"",""x"":190,""y"":378,""width"":36,""height"":23}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,10,"{""name"":""rect"",""x"":230,""y"":115,""width"":37,""height"":33}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,11,"{""name"":""rect"",""x"":231,""y"":152,""width"":34,""height"":31}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,12,"{""name"":""rect"",""x"":230,""y"":187,""width"":37,""height"":25}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,13,"{""name"":""rect"",""x"":231,""y"":217,""width"":35,""height"":23}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,14,"{""name"":""rect"",""x"":232,""y"":244,""width"":33,""height"":24}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,15,"{""name"":""rect"",""x"":233,""y"":271,""width"":30,""height"":24}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,16,"{""name"":""rect"",""x"":230,""y"":299,""width"":32,""height"":21}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,17,"{""name"":""rect"",""x"":229,""y"":323,""width"":33,""height"":24}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,18,"{""name"":""rect"",""x"":227,""y"":349,""width"":35,""height"":16}","{""name"":""12OZ 7UP""}"
78.jpg,81325,"{}",60,19,"{""name"":""rect"",""x"":228,""y"":369,""width"":32,""height"":23}","{""name"":""12OZ 7UP""}"
